Kód;Název Obce;Status obce;Kód POU;Název POU;Kód ORP;Název ORP;Kód Okresu;Název Okresu;Kód Kraje (VÚSC);Název Kraje (VÚSC)
554782;Praha;Hlavní město;19;Hlavní město Praha;19;Hlavní město Praha;;;19;Hlavní město Praha
535826;Adamov;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
536156;Bečice;Obec;621;Týn nad Vltavou;299;Týn nad Vltavou;3301;České Budějovice;35;Jihočeský kraj
544272;Borek;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
544281;Borovany;Město;612;Trhové Sviny;281;Trhové Sviny;3301;České Budějovice;35;Jihočeský kraj
535681;Borovnice;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
544299;Boršov nad Vltavou;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
535401;Bošilec;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
551490;Branišov;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
536059;Břehov;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
535541;Čakov;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
544329;Čejkovice;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
598976;Čenkov u Bechyně;Obec;621;Týn nad Vltavou;299;Týn nad Vltavou;3301;České Budějovice;35;Jihočeský kraj
544256;České Budějovice;Statutární město;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
551503;Čížkrajice;Obec;612;Trhové Sviny;281;Trhové Sviny;3301;České Budějovice;35;Jihočeský kraj
535249;Dasný;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
544361;Dívčice;Obec;639;Zliv;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
535206;Dobrá Voda u Českých Budějovic;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
536199;Dobšice;Obec;621;Týn nad Vltavou;299;Týn nad Vltavou;3301;České Budějovice;35;Jihočeský kraj
544388;Dolní Bukovsko;Městys;621;Týn nad Vltavou;299;Týn nad Vltavou;3301;České Budějovice;35;Jihočeský kraj
535664;Doubravice;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
544400;Doudleby;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
535958;Drahotěšice;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
549371;Dražíč;Obec;621;Týn nad Vltavou;299;Týn nad Vltavou;3301;České Budějovice;35;Jihočeský kraj
544426;Dříteň;Obec;582;Hluboká nad Vltavou;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
535788;Dubičné;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
544442;Dubné;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
544451;Dynín;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
535575;Habří;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
536075;Hartmanice;Obec;621;Týn nad Vltavou;299;Týn nad Vltavou;3301;České Budějovice;35;Jihočeský kraj
598593;Heřmaň;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
535851;Hlavatce;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
598607;Hlincová Hora;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
544485;Hluboká nad Vltavou;Město;582;Hluboká nad Vltavou;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
544493;Homole;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
536105;Horní Kněžeklady;Obec;621;Týn nad Vltavou;299;Týn nad Vltavou;3301;České Budějovice;35;Jihočeský kraj
544515;Horní Stropnice;Obec;604;Nové Hrady;281;Trhové Sviny;3301;České Budějovice;35;Jihočeský kraj
544523;Hosín;Obec;647;České Budějovice;302;České Budějovice;3301;České Budějovice;35;Jihočeský kraj
535524;Hosty;Obec;621;Týn nad Vltavou;299;Týn nad Vltavou;3301;České Budějovice;35;Jihočeský kraj
